24 18
2 68 0
2 4 0
2 4 0
2 4 0
2 4 0
2 4 0
2 68 0
2 4 0
2 4 0
2 4 0
2 4 0
2 4 0
2 68 0
2 4 0
2 4 0
2 4 0
2 4 0
2 20 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 16 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 16 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 128 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 128 0
2 0 0
2 0 0
2 0 0
2 0 0
2 16 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 16 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 16 0
2 4 -1
2 4 -1
2 68 0
2 8 0
2 4 0
2 68 -1
2 68 0
2 4 0
2 4 0
2 4 0
2 4 0
2 4 0
2 68 0
2 4 0
2 4 0
2 8 0
2 4 0
2 20 0
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 64 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 16 0
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 64 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 16 0
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 64 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 128 0
2 0 0
2 0 0
2 0 0
2 0 0
2 16 0
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 64 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 16 0
2 0 -1
2 0 -1
2 4 -1
2 8 -1
2 4 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 16 0
2 0 -1
2 0 -1
2 0 -1
2 68 0
2 4 0
2 4 0
2 4 0
2 4 0
2 4 0
2 8 0
2 4 0
2 4 0
2 4 0
2 4 0
2 4 0
2 68 -1
2 4 -1
2 4 -1
2 0 -1
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 64 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 64 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 0 -1
2 65 0
2 1 0
2 1 0
2 1 0
2 1 0
2 1 0
2 2 0
2 1 0
2 1 0
2 1 0
2 1 0
2 1 0
2 64 -1
2 0 -1
2 0 -1
